name,year,suscriptores,director,pic_sm,pic_lg,trailer,description
Final Fantasy XIV 1.0,2010,630.000,"	
Nobuaki Komoto",foto-chica-1.jpg,foto-grande-1.jpg,https://www.youtube.com/watch?v=Vg6yutR3AG0,"Final Fantasy XIV 1.0 es la versión original de la entrega, la cual no fue recibida con mucho éxito, al no lograr captar la atención del público en un entorno de alta competencia. El rotundo fracaso de esta versión llevó a un cambio completo del equipo de desarrollo, el cual decidió cerrar el juego, mientras trabajaban en un relanzamiento conocido como Final Fantasy XIV: A Realm Reborn, el cual mantenía elementos de la historia original, a modo de crear una secuela coherente con lo contado en el 1.0. Esta versión quedó obsoleta, y actualmente, es imposible de jugar. "
Final Fantasy XIV: A Realm Reborn,2013,1.500.000,Naoki Yoshida,foto-chica-2.jpg,foto-grande-2.jpg,https://www.youtube.com/watch?v=h542YbZuwkQ,"Aun donde hay luz, siempre habrá oscuridad. Las tribus bestiálidas persisten en sus esfuerzos por invocar a los Primals, entidades etéreas cuyos poderes aumentan con los cristales acumulados y las fervientes oraciones de sus seguidores. Las derrotadas fuerzas garleanas resurgen albergando ambiciones renovadas de conquista, y los malvados ascianos acechan en las sombras, con su presencia despertando fuerzas oscuras olvidadas hace mucho tiempo. A medida que surgen nuevas amenazas, los aventureros deben volver a escuchar la llamada del Cristal."
Final Fantasy XIV: Heavensward,2015,5.000.000,Naoki Yoshida,foto-chica-3.jpg,foto-grande-3.jpg,https://www.youtube.com/watch?v=4phUCJlomPo,"Debido a los eventos en las sombras de Ul'dah, los Vástagos del Séptimo Amanecer se han dispersado, y el Guerrero de la Luz se ha visto obligado a huir al norte. Aunque han sido acogidos por Lord Haurchefant, nuestros héroes deben seguir adelante hacia Ishgard. ¿Pero qué desafíos les aguardan en esta recluida nación atrapada en una lucha interminable con los dragones? Pase lo que pase, no deben detenerse para que la luz de la esperanza no se apague."
Final Fantasy XIV: Stormblood,2017,8.442.822,Naoki Yoshida,foto-chica-4.jpg,foto-grande-4.jpg,https://www.youtube.com/watch?v=Jt1h1MinlLI,"Tras poner fin al conflicto milenario entre dragones y hombres en el norte, el Guerrero de la Luz y sus camaradas se preparan para liberar Ala Mhigo, una tierra conquistada por el imperio garleano hace veinte años. Mientras tanto, en el lejano oriente, los luchadores por la libertad de la nación caída de Doma luchan por reavivar la llama de la esperanza en sus compatriotas. Ha llegado el momento de embarcarse en una nueva aventura a reinos cercanos y lejanos, ¡de alzarse con la gente de Eorzea y del lejano oriente y expulsar la amenaza de Garlemald!"
Final Fantasy XIV: Shadowbringers,2019,16762493,Naoki Yoshida,foto-chica-5.jpg,foto-grande-5.jpg,https://www.youtube.com/watch?v=4tyuIh12_HU,"¡Guerreros de la Luz, abrazad la oscuridad y forjad un nuevo destino!
Ala Mhigo al fin está libre del yugo imperial, pero esa libertad podría ser fugaz a medida que el imperio se moviliza para reclamar esta nación ensangrentada y subyugar a toda Eorzea. Y sin embargo, en su hora de necesidad, no pueden recurrir al Guerrero de la Luz, ni a los Vástagos, que aún duermen con sus almas a la deriva. El reino debe luchar solo sin sus salvadores, pues estos han sido llamados más allá del tiempo y el espacio, invocados al Primero.
Aquí comienza una nueva aventura en un mundo donde la luz lo purga todo al olvido. Pero la esperanza aún no está perdida, pues donde hay luz hay oscuridad."
Final Fantasy XIV: Endwalker,2021,35244789,Naoki Yoshida,foto-chica-6.jpg,foto-grande-6.jpg,https://www.youtube.com/watch?v=zTTtd6bnhFs,"¡Guerrero de la Luz, protege nuestra esperanza de que estos días no sean los últimos!
Aún teniendo reciente su triunfo en el Primero, el Guerrero de la Luz y los Vástagos del Séptimo Amanecer por fin están en casa. Sin embargo, una calamidad aún mayor que el refulgente olvido ha ido tejiéndose en su ausencia, la segunda llegada de los Últimos Días. Si todos se desesperan, los innumerables conflictos que ahora asolan la tierra no pueden sino presagiar el fin de la vida en la Fuente.
Confía en la fe de aquellos que caminan a tu lado, y viaja hacia las alturas, hasta las mismas estrellas del cielo."
